nr	ANNEX A: controls SECTION	section	ANNEX A: controls TITLE	Appendix A 27001 Control specification	HIGH LEVEL INTERPRETATION 	Decomposed USM statements	CTM	CHM	MIR	INC	OPS	RIM	TECH	SDC	ORG	SERV
2461	Support	7.5.2.#1	Creating and updating	When creating and updating documented information the organization shall ensure appropriate:		DOC_PROFILE_TASK_changeISO27001documentation exist, responsible for creating or updating any Document that has ticked the field <equired by ISMS according to ISO27001>		CHM	MIR						ORG	
2462	Support	7.5.2.#1	Creating and updating	When creating and updating documented information the organization shall ensure appropriate:		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_changeISO27001documentation.		CHM	MIR						ORG	
2463	Support	7.5.2.a	Creating and updating	a) identification and description (e.g. a title, date, author, or reference number);		DOC_ROUTINE_WFL2_dociso27001 specifies identification and description (e.g. a title, date, author, or reference number) of the Documentation with field <equired by ISMS according to ISO27001>.		CHM	MIR							
2464	Support	7.5.2.b	Creating and updating	b) format (e.g. language, software version, graphics) and media (e.g. paper, electronic); and		DOC_ROUTINE_WFL2_dociso27001 specifies format (e.g. language, software version, graphics) and media (e.g. paper, electronic) of the Documentation with field <required by ISO27001>.		CHM	MIR							
2465	Support	7.5.2.c	Creating and updating	c) review and approval for suitability and adequacy.		DOC_ROUTINE_WFL2_dociso27001 specifies review and approval for suitability and adequacy of the Documentation with field <equired by ISMS according to ISO27001>.		CHM	MIR							
2466	Support	7.5.3	Control of documented information													
2467	Support	7.5.3.#1	Control of documented information	Documented information required by the information security management system and by this document shall be controlled to ensure:		DOC is a class of MIC.		CHM	MIR							
2468	Support	7.5.3.#1	Control of documented information	Documented information required by the information security management system and by this document shall be controlled to ensure:		DOC has a field <required by ISMS according to ISO27001>.		CHM	MIR							
2469	Support	7.5.3.#1	Control of documented information	Documented information required by the information security management system and by this document shall be controlled to ensure:		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
2470	Support	7.5.3.#1	Control of documented information	Documented information required by the information security management system and by this document shall be controlled to ensure:		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
2471	Support	7.5.3.#1	Control of documented information	Documented information required by the information security management system and by this document shall be controlled to ensure:		DOC_PROFILE_TASK_controldocISO27001andISMS exist, responsible for controlling Documents that ticked field <required by ISMS according to ISO27001>.		CHM	MIR						ORG	
2472	Support	7.5.3.#1	Control of documented information	Documented information required by the information security management system and by this document shall be controlled to ensure:		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_controldocISO27001andISMS.		CHM	MIR						ORG	
2473	Support	7.5.3.a	Control of documented information	a) it is available and suitable for use, where and when it is needed; and		DOC_PROFILE_TASK_controldocISO27001andISMS specifies that Documentation that ticked field <required by ISMS according to ISO27001 is available and suitable for use, where and when it is needed.		CHM	MIR						ORG	
2474	Support	7.5.3.b	Control of documented information	b) it is adequately protected (e.g. from loss of confidentiality, improper use, or loss of integrity).		DOC_PROFILE_TASK_controldocISO27001andISMS specifies that Documentation that ticked field <required by ISMS according to ISO27001 is adequately protected (e.g. from loss of confidentiality, improper use, or loss of integrity).		CHM	MIR						ORG	
2475	Support	7.5.3.#2	Control of documented information	For the control of documented information, the organization shall address the following activities, as applicable:		DOC is a class of MIC.		CHM	MIR							
2476	Support	7.5.3.#2	Control of documented information	For the control of documented information, the organization shall address the following activities, as applicable:		DOC has a field <required by ISMS according to ISO27001>.		CHM	MIR							
2477	Support	7.5.3.c	Control of documented information	c) distribution, access, retrieval and use;		DOC_PROFILE_TASK_controldocISO27001andISMS specifies that Documentation that ticked field <required by ISMS according to ISO27001 is distributed, accessed, retrieved and used.		CHM	MIR						ORG	
2478	Support	7.5.3.c	Control of documented information	c) distribution, access, retrieval and use;		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_controldocISO27001andISMS.		CHM	MIR						ORG	
2479	Support	7.5.3.d	Control of documented information	d) storage and preservation, including the preservation of legibility;		DOC_PROFILE_TASK_controldocISO27001andISMS specifies that Documentation that ticked field <required by ISMS according to ISO27001 is stored and preserved, including the preservation of legibility.		CHM	MIR						ORG	
2480	Support	7.5.3.e	Control of documented information	e) control of changes (e.g. version control); and		DOC_PROFILE_TASK_controldocISO27001andISMS specifies that Documentation that ticked field <required by ISMS according to ISO27001 is changed under the control of DOC_ROUTINE_WFL2_dociso27001.		CHM	MIR						ORG	
2481	Support	7.5.3.f	Control of documented information	f) retention and disposition.		DOC_PROFILE_TASK_controldocISO27001andISMS specifies that Documentation that ticked field <required by ISMS according to ISO27001 is retained and disposed of as required.		CHM	MIR						ORG	
2482	Support	7.5.3.#3	Control of documented information	Documented information of external origin, determined by the organization to be necessary for the planning and operation of the information security management system, shall be identified as appropriate, and controlled.		DOC is a class of MIC.		CHM	MIR							
2483	Support	7.5.3.#3	Control of documented information	Documented information of external origin, determined by the organization to be necessary for the planning and operation of the information security management system, shall be identified as appropriate, and controlled.		DOC has a field <required by ISMS according to ISO27001 and from external origin>.		CHM	MIR							
2484	Support	7.5.3.#3	Control of documented information	Documented information of external origin, determined by the organization to be necessary for the planning and operation of the information security management system, shall be identified as appropriate, and controlled.		DOC_ROUTINE_WFL2_dociso27001 specifies that Documents with ticked field <required by ISMS according to ISO27001 and from external origin> is controlled as appropriate.		CHM	MIR							
